ONS_ID,facility_type,popwt_avg_time_s
3001,arena,173
3001,cmmt_centre,258
3001,fastfood,129
3001,gallery,615
3001,library,387
3001,mall,581
3001,movie_theatre,341
3001,museum,577
3001,shade_structure,180
3001,splash_pad,185
3002,arena,252
3002,cmmt_centre,167
3002,fastfood,109
3002,gallery,175
3002,library,132
3002,mall,253
3002,movie_theatre,369
3002,museum,393
3002,shade_structure,124
3002,splash_pad,209
3003,arena,147
3003,cmmt_centre,48
3003,fastfood,65
3003,gallery,647
3003,library,180
3003,mall,91
3003,movie_theatre,110
3003,museum,528
3003,shade_structure,86
3003,splash_pad,126
3004,arena,93
3004,cmmt_centre,211
3004,fastfood,77
3004,gallery,398
3004,library,102
3004,mall,169
3004,movie_theatre,156
3004,museum,422
3004,shade_structure,131
3004,splash_pad,63
3005,arena,370
3005,cmmt_centre,75
3005,fastfood,141
3005,gallery,954
3005,library,137
3005,mall,279
3005,movie_theatre,228
3005,museum,786
3005,shade_structure,173
3005,splash_pad,146
3007,arena,159
3007,cmmt_centre,329
3007,fastfood,103
3007,gallery,773
3007,library,102
3007,mall,333
3007,movie_theatre,354
3007,museum,660
3007,shade_structure,289
3007,splash_pad,204
3008,arena,275
3008,cmmt_centre,376
3008,fastfood,120
3008,gallery,847
3008,library,160
3008,mall,270
3008,movie_theatre,422
3008,museum,660
3008,shade_structure,301
3008,splash_pad,68
3009,arena,190
3009,cmmt_centre,158
3009,fastfood,67
3009,gallery,200
3009,library,128
3009,mall,184
3009,movie_theatre,316
3009,museum,326
3009,shade_structure,104
3009,splash_pad,129
3010,arena,92
3010,cmmt_centre,98
3010,fastfood,87
3010,gallery,465
3010,library,93
3010,mall,451
3010,movie_theatre,316
3010,museum,599
3010,shade_structure,107
3010,splash_pad,83
3011,arena,271
3011,cmmt_centre,116
3011,fastfood,107
3011,gallery,563
3011,library,260
3011,mall,487
3011,movie_theatre,226
3011,museum,563
3011,shade_structure,92
3011,splash_pad,71
3012,arena,169
3012,cmmt_centre,260
3012,fastfood,116
3012,gallery,563
3012,library,151
3012,mall,235
3012,movie_theatre,548
3012,museum,222
3012,shade_structure,194
3012,splash_pad,148
3013,arena,192
3013,cmmt_centre,186
3013,fastfood,89
3013,gallery,473
3013,library,176
3013,mall,207
3013,movie_theatre,371
3013,museum,235
3013,shade_structure,88
3013,splash_pad,194
3014,arena,356
3014,cmmt_centre,143
3014,fastfood,158
3014,gallery,1098
3014,library,354
3014,mall,312
3014,movie_theatre,500
3014,museum,495
3014,shade_structure,79
3014,splash_pad,94
3015,arena,135
3015,cmmt_centre,74
3015,fastfood,73
3015,gallery,666
3015,library,201
3015,mall,174
3015,movie_theatre,140
3015,museum,539
3015,shade_structure,95
3015,splash_pad,90
3016,arena,567
3016,cmmt_centre,120
3016,fastfood,101
3016,gallery,1152
3016,library,377
3016,mall,477
3016,movie_theatre,425
3016,museum,694
3016,shade_structure,119
3016,splash_pad,86
3017,arena,470
3017,cmmt_centre,268
3017,fastfood,121
3017,gallery,410
3017,library,307
3017,mall,453
3017,movie_theatre,458
3017,museum,592
3017,shade_structure,111
3017,splash_pad,138
3018,arena,312
3018,cmmt_centre,208
3018,fastfood,73
3018,gallery,372
3018,library,215
3018,mall,271
3018,movie_theatre,431
3018,museum,209
3018,shade_structure,71
3018,splash_pad,192
3020,arena,196
3020,cmmt_centre,82
3020,fastfood,93
3020,gallery,418
3020,library,232
3020,mall,163
3020,movie_theatre,497
3020,museum,273
3020,shade_structure,85
3020,splash_pad,94
3021,arena,348
3021,cmmt_centre,498
3021,fastfood,523
3021,gallery,1622
3021,library,354
3021,mall,898
3021,movie_theatre,911
3021,museum,362
3021,shade_structure,242
3021,splash_pad,310
3022,arena,219
3022,cmmt_centre,190
3022,fastfood,84
3022,gallery,378
3022,library,184
3022,mall,239
3022,movie_theatre,192
3022,museum,444
3022,shade_structure,104
3022,splash_pad,84
3023,arena,352
3023,cmmt_centre,142
3023,fastfood,107
3023,gallery,629
3023,library,124
3023,mall,305
3023,movie_theatre,373
3023,museum,307
3023,shade_structure,116
3023,splash_pad,99
3024,arena,131
3024,cmmt_centre,64
3024,fastfood,38
3024,gallery,95
3024,library,106
3024,mall,119
3024,movie_theatre,259
3024,museum,104
3024,shade_structure,133
3024,splash_pad,139
3025,arena,223
3025,cmmt_centre,223
3025,fastfood,166
3025,gallery,390
3025,library,138
3025,mall,346
3025,movie_theatre,211
3025,museum,726
3025,shade_structure,140
3025,splash_pad,92
3026,arena,385
3026,cmmt_centre,335
3026,fastfood,256
3026,gallery,565
3026,library,321
3026,mall,577
3026,movie_theatre,272
3026,museum,749
3026,shade_structure,52
3026,splash_pad,73
3027,arena,593
3027,cmmt_centre,229
3027,fastfood,106
3027,gallery,1041
3027,library,195
3027,mall,705
3027,movie_theatre,208
3027,museum,458
3027,shade_structure,63
3027,splash_pad,95
3028,arena,226
3028,cmmt_centre,215
3028,fastfood,76
3028,gallery,574
3028,library,131
3028,mall,247
3028,movie_theatre,443
3028,museum,120
3028,shade_structure,138
3028,splash_pad,148
3029,arena,168
3029,cmmt_centre,114
3029,fastfood,60
3029,gallery,283
3029,library,150
3029,mall,229
3029,movie_theatre,446
3029,museum,192
3029,shade_structure,70
3029,splash_pad,104
3031,arena,1334
3031,cmmt_centre,197
3031,fastfood,183
3031,gallery,2219
3031,library,197
3031,mall,1544
3031,movie_theatre,1493
3031,museum,1279
3031,shade_structure,887
3031,splash_pad,1180
3032,arena,203
3032,cmmt_centre,182
3032,fastfood,135
3032,gallery,278
3032,library,287
3032,mall,209
3032,movie_theatre,411
3032,museum,687
3032,shade_structure,285
3032,splash_pad,94
3033,arena,758
3033,cmmt_centre,771
3033,fastfood,586
3033,gallery,1718
3033,library,752
3033,mall,1038
3033,movie_theatre,1070
3033,museum,800
3033,shade_structure,695
3033,splash_pad,749
3034,arena,327
3034,cmmt_centre,153
3034,fastfood,116
3034,gallery,734
3034,library,218
3034,mall,361
3034,movie_theatre,484
3034,museum,361
3034,shade_structure,256
3034,splash_pad,72
3035,arena,160
3035,cmmt_centre,226
3035,fastfood,103
3035,gallery,703
3035,library,175
3035,mall,209
3035,movie_theatre,537
3035,museum,215
3035,shade_structure,154
3035,splash_pad,179
3036,arena,281
3036,cmmt_centre,246
3036,fastfood,210
3036,gallery,760
3036,library,296
3036,mall,285
3036,movie_theatre,215
3036,museum,643
3036,shade_structure,92
3036,splash_pad,218
3037,arena,298
3037,cmmt_centre,525
3037,fastfood,334
3037,gallery,570
3037,library,598
3037,mall,586
3037,movie_theatre,800
3037,museum,329
3037,shade_structure,185
3037,splash_pad,348
3038,arena,793
3038,cmmt_centre,536
3038,fastfood,515
3038,gallery,1670
3038,library,724
3038,mall,990
3038,movie_theatre,943
3038,museum,772
3038,shade_structure,586
3038,splash_pad,608
3039,arena,513
3039,cmmt_centre,511
3039,fastfood,392
3039,gallery,708
3039,library,617
3039,mall,691
3039,movie_theatre,721
3039,museum,691
3039,shade_structure,255
3039,splash_pad,511
3040,arena,327
3040,cmmt_centre,83
3040,fastfood,78
3040,gallery,201
3040,library,133
3040,mall,397
3040,movie_theatre,462
3040,museum,326
3040,shade_structure,67
3040,splash_pad,84
3041,arena,281
3041,cmmt_centre,100
3041,fastfood,119
3041,gallery,496
3041,library,206
3041,mall,394
3041,movie_theatre,130
3041,museum,520
3041,shade_structure,126
3041,splash_pad,91
3043,arena,494
3043,cmmt_centre,206
3043,fastfood,161
3043,gallery,335
3043,library,209
3043,mall,373
3043,movie_theatre,406
3043,museum,661
3043,shade_structure,215
3043,splash_pad,121
3044,arena,176
3044,cmmt_centre,379
3044,fastfood,122
3044,gallery,760
3044,library,541
3044,mall,750
3044,movie_theatre,510
3044,museum,731
3044,shade_structure,101
3044,splash_pad,81
3045,arena,259
3045,cmmt_centre,105
3045,fastfood,124
3045,gallery,484
3045,library,189
3045,mall,278
3045,movie_theatre,514
3045,museum,211
3045,shade_structure,91
3045,splash_pad,120
3046,arena,1253
3046,cmmt_centre,685
3046,fastfood,680
3046,gallery,2451
3046,library,574
3046,mall,1233
3046,movie_theatre,1739
3046,museum,1201
3046,shade_structure,847
3046,splash_pad,1211
3047,arena,173
3047,cmmt_centre,94
3047,fastfood,58
3047,gallery,112
3047,library,149
3047,mall,255
3047,movie_theatre,379
3047,museum,176
3047,shade_structure,107
3047,splash_pad,123
3048,arena,187
3048,cmmt_centre,192
3048,fastfood,106
3048,gallery,1099
3048,library,187
3048,mall,234
3048,movie_theatre,434
3048,museum,462
3048,shade_structure,128
3048,splash_pad,129
3049,arena,592
