ONS_ID,ONS_Name,rurality,costing,contour,pct_covered
3001,AIRPORT,suburban,auto,10,1
3001,AIRPORT,suburban,pedestrian,10,0
3002,ALTA VISTA,urban,pedestrian,15,0.5142408992255035
3003,BAYSHORE,urban,pedestrian,15,0.9944004199275609
3004,BEACON HILL SOUTH - CARDINAL HEIGHTS,urban,pedestrian,15,0.9092599300231161
3005,BEAVERBROOK,suburban,auto,10,1
3005,BEAVERBROOK,suburban,pedestrian,10,0.8139557543987141
3006,BEECHWOOD CEMETERY,urban,pedestrian,15,0.8888888888888888
3007,BELLS CORNERS EAST,suburban,auto,10,1
3007,BELLS CORNERS EAST,suburban,pedestrian,10,0.6894347362397966
3008,BELLS CORNERS WEST,suburban,auto,10,1
3008,BELLS CORNERS WEST,suburban,pedestrian,10,0.557944017671689
3009,BILLINGS BRIDGE - HERON PARK,urban,pedestrian,15,0.7051621354860028
3010,BLACKBURN HAMLET,suburban,auto,10,1
3010,BLACKBURN HAMLET,suburban,pedestrian,10,0.6763883005924877
3011,BLOSSOM PARK - TIMBERMILL,suburban,auto,10,1
3011,BLOSSOM PARK - TIMBERMILL,suburban,pedestrian,10,0.8512322068266611
3012,BORDEN FARM - FISHER GLEN,urban,pedestrian,15,0.6459371499131806
3013,BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK,urban,pedestrian,15,0.7090618398720344
3014,BRIDLEWOOD - EMERALD MEADOWS,suburban,auto,10,1
3014,BRIDLEWOOD - EMERALD MEADOWS,suburban,pedestrian,10,0.5484868532447806
3015,BRITANNIA,urban,pedestrian,15,0.9748540734214737
3016,BROOKSIDE - BRIARBROOK - MORGANS GRANT,suburban,auto,10,1
3016,BROOKSIDE - BRIARBROOK - MORGANS GRANT,suburban,pedestrian,10,0.7138709010747943
3017,CARDINAL CREEK,suburban,auto,10,1
3017,CARDINAL CREEK,suburban,pedestrian,10,0.5199599100839795
3018,CARLETON HEIGHTS-COURTLAND PARK,urban,pedestrian,15,0.9236599140061803
3019,CARLETON UNIVERSITY,urban,pedestrian,15,0.3111111111111111
3020,CARLINGTON,urban,pedestrian,15,0.9375122166694627
3021,CARP,rural,auto,15,1
3022,CARSON GROVE - CARSON MEADOWS,urban,pedestrian,15,0.8076213952298462
3023,CENTREPOINTE - BRIARGREEN,urban,pedestrian,15,0.8122676693092
3024,CENTRETOWN,urban,pedestrian,15,1
3025,CHAPEL HILL NORTH,suburban,auto,10,1
3025,CHAPEL HILL NORTH,suburban,pedestrian,10,0.5518958739723955
3026,CHAPEL HILL SOUTH,suburban,auto,10,1
3026,CHAPEL HILL SOUTH,suburban,pedestrian,10,0.8103713676517672
3027,CHAPMAN MILLS,suburban,auto,10,1
3027,CHAPMAN MILLS,suburban,pedestrian,10,0.9050767473651931
3028,CITY VIEW,urban,pedestrian,15,0.33408462006058726
3029,CIVIC HOSPITAL,urban,pedestrian,15,0.9923162353427346
3030,COLONNADE BUSINESS PARK,suburban,auto,10,1
3030,COLONNADE BUSINESS PARK,suburban,pedestrian,10,0.5371081822715228
3031,CONSTANCE BAY,rural,auto,15,1
3032,CONVENT GLEN - ORLEANS WOODS,suburban,auto,10,1
3032,CONVENT GLEN - ORLEANS WOODS,suburban,pedestrian,10,0.3889504619601084
3033,CORKERY,rural,auto,15,0.9807638771765852
3034,CRAIG HENRY - MANORDALE,urban,pedestrian,15,0.5411771409711261
3035,CRESTVIEW-TANGLEWOOD,urban,pedestrian,15,0.4969908703451851
3036,CRYSTAL BAY - LAKEVIEW PARK,suburban,auto,10,1
3036,CRYSTAL BAY - LAKEVIEW PARK,suburban,pedestrian,10,0.4043577363511465
3037,CUMBERLAND,rural,auto,15,1
3038,DUNROBIN,rural,auto,15,0.9535204655753108
3039,EDWARDS - CARLSBAD SPRINGS,rural,auto,15,1
3040,ELMVALE - CANTERBURY,urban,pedestrian,15,0.9607282257950879
3041,EMERALD WOODS - SAWMILL CREEK,suburban,auto,10,1
3041,EMERALD WOODS - SAWMILL CREEK,suburban,pedestrian,10,0.507916122695439
3042,EXPERIMENTAL FARM,urban,pedestrian,15,0.3459276059818185
3043,FALLINGBROOK,suburban,auto,10,1
3043,FALLINGBROOK,suburban,pedestrian,10,0.45905447007246714
3044,FINDLAY CREEK,suburban,auto,10,1
3044,FINDLAY CREEK,suburban,pedestrian,10,0.6851048002264852
3045,FISHER HEIGHTS,urban,pedestrian,15,0.8500664802570801
3046,FITZROY,rural,auto,15,0.9887630377330844
3047,GLEBE-DOWS LAKE,urban,pedestrian,15,0.9230227708629627
3048,GLEN CAIRN,suburban,auto,10,1
3048,GLEN CAIRN,suburban,pedestrian,10,0.6497784763816904
3049,GREELY,rural,auto,15,1
3050,GREENBELT (EAST),suburban,auto,10,0.9905034344724701
3050,GREENBELT (EAST),suburban,pedestrian,10,0.22232209232975303
3051,GREENBELT (WEST),suburban,auto,10,1
3051,GREENBELT (WEST),suburban,pedestrian,10,0.21413989163666666
3052,GREENBORO EAST,suburban,auto,10,1
3052,GREENBORO EAST,suburban,pedestrian,10,0.9931462932868319
3053,GREENBORO WEST,suburban,auto,10,1
3053,GREENBORO WEST,suburban,pedestrian,10,0.7613766257620669
3054,HAWTHORN MEADOWS - SHEFFIELD GLEN,urban,pedestrian,15,0.984917281148239
3055,HINTONBURG-MECHANICSVILLE,urban,pedestrian,15,0.9929965347437535
3056,HUNT CLUB PARK,suburban,auto,10,1
3056,HUNT CLUB PARK,suburban,pedestrian,10,0.7787453410223956
3057,INDUSTRIAL EAST,suburban,auto,10,1
3057,INDUSTRIAL EAST,suburban,pedestrian,10,0.45805941820134677
3058,IRIS,urban,pedestrian,15,0.9710626438870714
3059,ISLAND PARK-WELLINGTON VILLAGE,urban,pedestrian,15,0.9667477491479111
3060,KANATA LAKES,suburban,auto,10,1
3060,KANATA LAKES,suburban,pedestrian,10,0.31520590570071616
3061,KATIMAVIK-HAZELDEAN,suburban,auto,10,1
3061,KATIMAVIK-HAZELDEAN,suburban,pedestrian,10,0.7074490115142191
3062,KINBURN,rural,auto,15,1
3063,LAURENTIAN,urban,pedestrian,15,0.9882577668108545
3064,LEBRETON DEVELOPMENT,urban,pedestrian,15,0.4656584751102709
3065,LEDBURY-HERON GATE-RIDGEMONT,urban,pedestrian,15,0.9797601197318334
3066,LESLIE PARK - BRUCE FARM,urban,pedestrian,15,0.597335718329021
3067,LOWERTOWN EAST,urban,pedestrian,15,1
3068,LOWERTOWN WEST,urban,pedestrian,15,1
3069,MANOR PARK,urban,pedestrian,15,0.9256240912430803
3070,MANOTICK,rural,auto,15,1
3071,MARLBOROUGH,rural,auto,15,0.7044981576234102
3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,suburban,auto,10,1
3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,suburban,pedestrian,10,0.07837391486485239
3073,METCALFE,rural,auto,15,1
3074,RICHMOND,rural,auto,15,1
3075,MUNSTER - ASHTON,rural,auto,15,0.9974144214925239
3076,NAVAN - SARSFIELD,rural,auto,15,0.9825631872349797
3077,NEW EDINBURGH,urban,pedestrian,15,1
3078,NORTH GOWER - KARS,rural,auto,15,1
3079,OLD BARRHAVEN EAST,suburban,auto,10,1
3079,OLD BARRHAVEN EAST,suburban,pedestrian,10,0.519733789484855
3080,OLD BARRHAVEN WEST,suburban,auto,10,1
3080,OLD BARRHAVEN WEST,suburban,pedestrian,10,0.573613647780526
3081,OLD HUNT CLUB,suburban,auto,10,1
3081,OLD HUNT CLUB,suburban,pedestrian,10,0.47666850911484865
3082,OLD OTTAWA EAST,urban,pedestrian,15,0.9948471745305014
3083,OLD OTTAWA SOUTH,urban,pedestrian,15,1
3084,ORLEANS INDUSTRIAL,suburban,auto,10,1
3084,ORLEANS INDUSTRIAL,suburban,pedestrian,10,0.7872484128056193
3085,ORLEANS VILLAGE - CHATEAUNEUF,suburban,auto,10,1
3085,ORLEANS VILLAGE - CHATEAUNEUF,suburban,pedestrian,10,0.5148464004054133
3086,OSGOODE - VERNON,rural,auto,15,0.9969563241503842
3087,OVERBROOK,urban,pedestrian,15,0.9360194241100327
3088,PARKWOOD HILLS,urban,pedestrian,15,0.7962011333346227
3089,PINEVIEW,urban,pedestrian,15,0.6225373466551326
3090,PLAYFAIR PARK - GUILDWOOD ESTATES,urban,pedestrian,15,0.5248570422968356
3091,PORTOBELLO SOUTH,suburban,auto,10,1
3091,PORTOBELLO SOUTH,suburban,pedestrian,10,0.7896686286240998
3092,QUALICUM - REDWOOD,urban,pedestrian,15,0.6252404139314243
3093,QUEENSWAY TERRACE NORTH,urban,pedestrian,15,0.8668183028044619
3094,QUEENSWOOD - CHATELAINE,suburban,auto,10,1
3094,QUEENSWOOD - CHATELAINE,suburban,pedestrian,10,0.21766772605512438
3095,QUEENSWOOD HEIGHTS,suburban,auto,10,1
3095,QUEENSWOOD HEIGHTS,suburban,pedestrian,10,0.5161116851774445
3097,RIDEAUCREST - DAVIDSON HEIGHTS,suburban,auto,10,1
3097,RIDEAUCREST - DAVIDSON HEIGHTS,suburban,pedestrian,10,0.7528675662749346
3098,RIVERSIDE PARK - MOONEYS BAY,urban,pedestrian,15,0.5031282953001239
3099,RIVERSIDE PARK SOUTH - REVELSTOKE,urban,pedestrian,15,0.7209847203414598
3100,RIVERSIDE SOUTH - LEITRIM,suburban,auto,10,1
3100,RIVERSIDE SOUTH - LEITRIM,suburban,pedestrian,10,0.7771638469047782
3101,RIVERVIEW,urban,pedestrian,15,0.4807617621227836
3102,ROCKCLIFFE PARK,urban,pedestrian,15,0.7143241381877746
3103,ROTHWELL HEIGHTS - BEACON HILL NORTH,urban,pedestrian,15,0.6357940047805253
3104,SANDY HILL,urban,pedestrian,15,1
3105,SOUTH KEYS,suburban,auto,10,1
3105,SOUTH KEYS,suburban,pedestrian,10,0.6133969752793482
3106,STITTSVILLE,suburban,auto,10,0.9977154372989875
3106,STITTSVILLE,suburban,pedestrian,10,0.4886882406045762
3107,STITTSVILLE EAST,suburban,auto,10,1
3107,STITTSVILLE EAST,suburban,pedestrian,10,0.6131706830943155
3108,STITTSVILLE NORTH,suburban,auto,10,1
3108,STITTSVILLE NORTH,suburban,pedestrian,10,0.6549277203223827
3109,STONEBRIDGE - HALF MOON BAY,suburban,auto,10,1
3109,STONEBRIDGE - HALF MOON BAY,suburban,pedestrian,10,0.716085782427099
3110,TREND-ARLINGTON,urban,pedestrian,15,0.6838573156619415
3111,VANIER NORTH,urban,pedestrian,15,1
3112,VANIER SOUTH,urban,pedestrian,15,1
3113,VARS,rural,auto,15,1
3114,WATERRIDGE VILLAGE,urban,pedestrian,15,0.9520345190908635
3115,WEST CENTRETOWN,urban,pedestrian,15,1
3116,WESTBORO,urban,pedestrian,15,0.939031515762316
3117,WHITEHAVEN - WOODPARK - GLABAR PARK,urban,pedestrian,15,0.6761333947897812
